,Exotic forest - mono,Native vegetation,Pasture - intensive,Pasture - semi-natural
Mean,0.006525906858273545,0.004743227277999719,0.004501024424948954,0.008478510532461268
Standard error,0.0019938157479922583,0.0007185633503651519,0.0007768361185701252,0.001143483224104885
