,Exotic forest,Native forest,Intensive pasture,Semi-natural pasture
Mean indigenous,0.5713331214030783,0.1777884688007606,0.4626451042860548,0.29320078501247393
Standard error indigenous,0.21083920112112267,0.022262036566717946,0.09040674142192802,0.05069016958013809
Mean introduced,0.3125798938144432,0.18994803296677856,0.43408754083756423,1.156515171479789
Standard error introduced,0.1146719292641575,0.026529972319216603,0.09900381995778133,0.2032370704393112
N,12.0,44.0,24.0,16.0
