"","means","se"
"Native forest",0.152490464958637,0.00735376566337606
"Exotic forest",0.192196701230455,0.0174163035156376
"Semi-natural pasture",0.253900638409951,0.0148690692991917
"Intensive pasture",0.172948782435418,0.0127857002006706
