,Exotic forest - mono,Native vegetation,Pasture - intensive,Pasture - semi-natural
Mean,0.027033499934734178,0.026806100355811893,0.020067410950763778,0.03251724547651309
Standard error,0.0064777453549944115,0.0037289143886239605,0.004101504465918279,0.005112296067117852
N,12.0,44.0,24.0,10.0
