,beta,n0,s0,mlsq
Native forest,0.0023769908352883665,10291,148,0.4912777709106631
Exotic forest,0.004800138569184365,3385,87,0.6891486049342271
Semi-natural pasture,0.0017498813751584852,11421,127,1.2572505399019351
Intensive pasture,0.0009190196323812301,21153,136,0.3312075583936491
