,Exotic forest,Native forest,Intensive pasture,Semi-natural pasture
Mean (idg),1.3209690579422384,0.7419224142242683,1.398870433043186,0.7902437802490271
Standard error (idg),0.19109697589966318,0.08681217047245243,0.38134747805068964,0.2039422361286073
N (idg),11.0,44.0,24.0,15.0
Mean (int),1.454387729159903,2.0215036413193985,0.9040253859710329,0.7907365900757114
Standard error (int),0.2097862021327379,0.29158112074033515,0.10041002329277887,0.1589496999026895
N (int),12.0,32.0,24.0,16.0
