,Exotic forest,Native forest,Intensive pasture,Semi-natural pasture
Mean,0.4021119822144361,0.4736662436395187,0.671029233885274,0.8121819573298111
Standard error,0.07654662241044359,0.04889823656483947,0.06400330137068634,0.10160179383013072
N,12.0,44.0,24.0,16.0
