,,l1,s0,beta,l2,n0,e0,mlsq
Native forest,TER-NFTB-T-56,0.11361862471803351,11,0.12127273954799622,0.0076541148299627115,39,1476.1354812890347,0.24632525888001672
Native forest,TER-NFTB-TY15,0.06983157892801205,17,0.07914296623247699,0.009311387304464949,80,1905.7215003663575,0.22262387659762856
Native forest,TER-NFTB-TY16,0.10380604898932491,12,0.11541395594749844,0.01160790695817353,44,1077.7780999829934,0.2941961079670085
Native forest,TER-NFTB-TY18,0.013704123602870105,14,0.014575695027877337,0.0008715714250072318,216,16278.940567244774,0.9423468793238036
Intensive pasture,TER-AGUA-T113,0.011824699998601008,37,0.012063763206787695,0.00023906320818668545,689,155459.78334490745,0.3489830099882135
Intensive pasture,TER-AGUA-T114,0.008430057426715466,32,0.008647065120998889,0.0002170076942834225,774,148234.20921362567,0.550100612576784
Intensive pasture,TER-AGUA-T-71,0.012072155155291543,45,0.012310397646000025,0.00023824249070848288,825,189708.18312228646,0.6191908012855626
Intensive pasture,TER-ALTA-T-80,0.01345074804909107,40,0.013986474889539684,0.0005357268404486134,664,75328.91685670316,0.8970436150728498
Intensive pasture,TER-CINC-T-74,0.008502774042660605,38,0.008610748688972103,0.00010797464631149692,923,352857.4707124439,1.0708166383685283
Intensive pasture,TER-CINC-T-90,0.004697084247619023,35,0.005073317917154351,0.0003762336695353274,1300,94327.29349881745,1.2270086178838795
Intensive pasture,TER-DOZE-T-89,0.010914231325183694,38,0.011276978304375903,0.0003627469791922095,746,105502.21350347581,0.8355191576619555
Intensive pasture,TER-FETE-T-81,0.005364226754583613,43,0.0076001964959421025,0.0022359697413584893,1154,20385.02947443057,0.6067821393656918
Intensive pasture,TER-FTER-T-82,0.005934939008805285,33,0.008147863432052276,0.0022129244232469915,837,15749.393597057231,0.6139930783735618
Intensive pasture,TER-FTER-T-88,-0.0014370415747367322,29,0.006388249381007197,0.007825290955743929,892,4597.9324904351815,0.5504465290352659
Intensive pasture,TER-GRANJA_T169,0.005887123864749086,45,0.007144763046690002,0.0012576391819409157,1269,37050.32794061923,0.47088212625806225
Intensive pasture,TER-LAJE-T174,0.010976005261442243,40,0.013719312124958027,0.002743306863515785,674,15254.942632402612,0.17410364976313109
Intensive pasture,TER-PCPI-T-91,0.003174616377312547,25,0.0053870052292135295,0.0022123888519009825,878,12178.002700031187,1.4589642740894615
Intensive pasture,TER-PATE-T115,0.013267561228272925,23,0.015629825060408265,0.0023622638321353392,349,10085.42303925444,0.4071539543370345
Intensive pasture,TER-PATE-T116,0.007977765140249227,22,0.010101706227267497,0.0021239410870182705,467,10825.102743275738,0.6392989689310007
Intensive pasture,TER-PIMER-T175,0.009756675476020632,43,0.010124056991690356,0.0003673815156697234,919,117963.53862250672,0.8709816452717589
Intensive pasture,TER-PVIT-T-68,0.020052831682702377,17,0.024530716827427843,0.004477885144725466,182,3978.435024695626,0.45440772796024453
Intensive pasture,TER-RTER-T-85,0.0069414444106752765,22,0.009449129702763641,0.0025076852920883643,492,9265.030678693623,0.37402395992144843
Intensive pasture,TER-SANT-T-87,0.0013167074520151877,28,0.0039795872439582995,0.0026628797919431117,1262,11776.932023862899,0.4932726032516824
Intensive pasture,TER-SSEB-T-83,0.006147060005138265,30,0.006478170651406297,0.00033111064626803206,913,91517.15404376693,1.0298125963376639
Intensive pasture,TER-SCUM-T-75,-0.0006117313269334759,28,0.007538245425980104,0.00814997675291358,754,4189.592621781421,0.37604015562281773
Intensive pasture,TER-SERCU-T170,0.007107956911197171,37,0.008371442629229316,0.0012634857180321452,919,30203.0666672725,0.6835629389418044
Intensive pasture,TER-VNOV-T-70,0.011618984144876514,32,0.012001634342020976,0.00038265019714446157,598,84225.29259987568,0.9677515347591201
Intensive pasture,TER-ZIND-T-84,0.002143808271610309,27,0.005864931319763735,0.003721123048153426,888,8143.874006477295,0.3845612781890518
Semi-natural pasture,TER-BAGA-T-77,0.0024504417003233963,23,0.005141849486976826,0.0026914077866534293,835,9380.71355335151,0.46125087790851943
Semi-natural pasture,TER-BAGA-T-78,0.0026488233303497933,26,0.004032494870788937,0.0013836715404391437,1156,19946.586667518095,0.7951733941306838
Semi-natural pasture,TER-CA_T163,0.010238915862209545,38,0.011675189180700226,0.0014362733184906822,726,27183.359828930446,0.45163063141157733
Semi-natural pasture,TER-GOLF-T-86,0.003160013416662815,33,0.006442173187453605,0.0032821597707907903,1010,11064.355151653423,1.0253806329632522
Semi-natural pasture,TER-CVSB_T162,0.005657247199759774,29,0.007053218963089359,0.0013959717633295855,824,21598.059162078604,1.1287734203466966
Semi-natural pasture,TER-MNEG-T-73,0.0037022361082742917,27,0.005799849618899538,0.002097613510625246,896,13767.770639936418,1.0639231320242604
Semi-natural pasture,TER-MNEG-T-76,0.004919952348696167,17,0.01382859650237655,0.008908644153680383,279,2187.25895688929,0.3918319288010185
Semi-natural pasture,TER-MNEG-T-79,0.0043962142644402985,23,0.0049923969851813485,0.0005961827207410503,855,39433.776606291416,1.851698727741338
Semi-natural pasture,TER-NFBF-T-61,0.012881666408636326,14,0.016632530016662855,0.0037508636080265285,196,3928.4737615201984,1.3484088181913896
Semi-natural pasture,TER-NFGM-T-69,0.01645560632203984,42,0.01737518516444098,0.0009195788424011379,590,46263.082136527446,0.9912939558206222
Semi-natural pasture,TER-NFPG-T118,0.012457334835066778,18,0.01630089637476259,0.0038435615396958133,262,4945.156445941686,0.6166493931895757
Semi-natural pasture,TER-NFPG-T-67,0.019354808102833715,26,0.02081330124908673,0.0014584931462530166,318,18144.61788078747,0.830331989915194
Semi-natural pasture,TER-NFTB-T117,0.011339010652404108,15,0.013749784044973207,0.0024107733925690985,244,6466.069667035312,0.6649101047768008
Semi-natural pasture,TER-NFTB-T-28,0.0239147824106108,20,0.025230854827303504,0.0013160724166927022,211,15407.732145074599,0.46060428478368437
Semi-natural pasture,TER-PB-T165,0.007104456993774971,27,0.007316450510974496,0.00021199351719952548,744,128106.38521194004,0.4815615265545707
Semi-natural pasture,TER-SBAR-T-72,-0.0002988499197675359,18,0.0045754749462449985,0.0048743248660125344,700,4392.819107218224,0.4314884987177958
