,Exotic forest,Native forest,Intensive pasture,Semi-natural pasture
Mean,0.28273549869961057,0.2894985684274276,0.3803080039361924,0.443227756050579
Standard error,0.0338032928834602,0.011945763066231387,0.024953960700231554,0.0303305536049083
