,n0,e0,beta,l1,l2,s0,mlsq
Native forest,4404,2639138.479979341,0.0044295942115743035,0.004389362453571565,4.0231758002738534e-05,106,0.3788241425388398
Exotic forest,2651,299585.1514996718,0.005848874667494644,0.005579454664453706,0.00026942000304093825,80,0.26034502848519075
Semi-natural pasture,9846,809604.6847432579,0.001759621516166852,0.0016220800275923168,0.00013754148857453505,110,1.2534128404631455
Intensive pasture,19368,4171823.8728115675,0.0009317407524939036,0.0009013972632770785,3.0343489216825135e-05,126,1.391150182260439
