Data,Data,Data,Data,Data,Data,Data,Data,Data,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Exotic forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Native forest,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Intensive pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture,Semi-natural pasture
Order (new),MF,Species_name,Family,N/E/I,Trophic,Paper_OTU,Body Size (mm),Body_Mass.mg.,TER-AGUA-T-66,TER-MNEG-T-62,TER-MNEG-T-63,TER-TCHA-T-64,TER-ACAR-T111,TER-ACAR-T112,TER-ACAR-T-25,TER-ACAR-T-26,TER-ALT-T176,TER-BISC-T-65,TER-MASE-T167,TER-POSA-T172,TER-MATE-T-13,TER-MATE-T-14,TER-MATE-T168,TER-NFBF-T-03,TER-NFBF-T-38,TER-NFBF-TP39,TER-NFBF-TP41,TER-NFBF-TP42,TER-NFBF-TY01,TER-NFBF-TY02,TER-NFBF-TY04,TER-NFGM-T-23,TER-NFGM-T-53,TER-NFGM-T-54,TER-NFGM-TY35,TER-NFPG-T-22,TER-NFPG-T-40,TER-NFPG-T-44,TER-NFPG-TY33,TER-NFSB-T-07,TER-NFSB-T-08,TER-NFSB-T-09,TER-NFSB-T-10,TER-NFSB-T-12,TER-NFSB-T164,TER-NFSB-T-43,TER-NFSB-T-46,TER-NFSB-T-47,TER-NFSB-T-57,TER-NFSB-TE45,TER-NFSB-TE48,TER-NFSB-TE49,TER-NFSB-TE50,TER-NFSB-TY05,TER-NFSB-TY06,TER-NFSB-TY11,TER-NFTB-T173,TER-NFTB-T-51,TER-NFTB-T-52,TER-NFTB-T-55,TER-NFTB-T-56,TER-NFTB-TY15,TER-NFTB-TY16,TER-NFTB-TY18,TER-AGUA-T113,TER-AGUA-T114,TER-AGUA-T-71,TER-ALTA-T-80,TER-CINC-T-74,TER-CINC-T-90,TER-DOZE-T-89,TER-FETE-T-81,TER-FTER-T-82,TER-FTER-T-88,TER-GRANJA_T169,TER-LAJE-T174,TER-PCPI-T-91,TER-PATE-T115,TER-PATE-T116,TER-PIMER-T175,TER-PVIT-T-68,TER-RTER-T-85,TER-SANT-T-87,TER-SSEB-T-83,TER-SCUM-T-75,TER-SERCU-T170,TER-VNOV-T-70,TER-ZIND-T-84,TER-BAGA-T-77,TER-BAGA-T-78,TER-CA_T163,TER-GOLF-T-86,TER-CVSB_T162,TER-MNEG-T-73,TER-MNEG-T-76,TER-MNEG-T-79,TER-NFBF-T-61,TER-NFGM-T-69,TER-NFPG-T118,TER-NFPG-T-67,TER-NFTB-T117,TER-NFTB-T-28,TER-PB-T165,TER-SBAR-T-72
Araneae,28,Dysdera crocata,Dysderidae,I,P,Araneae,9.84,19.903,0,0,0,1,1,1,6,2,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,3,1,0,0,0,1,1,0,0,0,0
Araneae,34,Erigone atra,Linyphiidae,I,P,Araneae,1.86,0.435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,12,1,1,2,0,0,0,0,0,1,0,0,0,5,0,0,15,40,41,1,7,5,4,5,4,0,0
Araneae,39,Pisaura acoreensis,Pisauridae,E ,P,Araneae,9.76,19.537,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,50,Canariphantes acoreensis,Linyphiidae,E ,P,Araneae,2.36,0.749,1,0,0,0,0,0,1,0,1,0,13,0,17,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,3,1,3,0,0,0,0,0,1,1,0,3,0,4,0,2,2,0,1,0,5,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,133,Metellina sp.,Tetragnathidae,E,P,Araneae,6.32,7.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Araneae,134,Gibbaranea occidentalis,Araneidae,E ,P,Araneae,5.71,5.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,140,Ero furcata,Mimetidae,I,P,Araneae,3.08,1.383,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,179,Sancus acoreensis ,Tetragnathidae,E ,P,Araneae,3.29,1.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,198,Macaroeris cata ,Salticidae,N,P,Araneae,4.76,3.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae,233,Oedothorax fuscus ,Linyphiidae,I,P,Araneae,2.12,0.584,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,239,162,215,202,26,833,291,580,495,609,415,25,647,89,243,437,64,226,1044,453,555,227,43,578,674,1000,405,737,677,782,203,651,8,388,219,247,171,78,374,637
Araneae,234,Erigone autumnalis,Linyphiidae,I,P,Araneae,1.33,0.202,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,33,18,10,69,17,47,37,42,59,47,18,0,1,49,18,22,23,64,35,6,52,12,1,7,22,16,1,18,8,13,9,4,3,8,2,34,0,5
Araneae,235,Pelecopsis parallela ,Linyphiidae,I,P,Araneae,1.50,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Araneae,246,Erigone dentipalpis ,Linyphiidae,I,P,Araneae,2.14,0.598,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,84,84,12,30,60,87,61,116,255,28,109,13,11,92,14,28,45,44,62,421,78,121,52,12,49,41,1,15,4,13,0,34,1,2,1,1,2,6
Araneae,249,Mermessus bryantae ,Linyphiidae,I,P,Araneae,1.65,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,5,0,19,0,3,21,0,1,8,5,5,0,0,0,0,0,0,0,1,2,0,0,2,0,5,0,8,0,2,5,0,8,0,0,11
Araneae,250,Xysticus nubilus,Thomisidae,I,P,Araneae,6.00,6.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,1,0
Araneae,260,Prinerigone vagans ,Linyphiidae,I,P,Araneae,1.97,0.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,18,5,10,4,0,3,7,14,0,23,0,0,1,0,5,2,5,2,46,13,37,3,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0
Araneae,312,Acorigone acoreensis ,Linyphiidae,E ,P,Araneae,1.24,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
